"","Q12_OTHER_TEXT","Q13_OTHER_TEXT","Q14_OTHER_TEXT","Q14_Part_1_TEXT","Q14_Part_4_TEXT","Q14_Part_5_TEXT","Q16_OTHER_TEXT","Q18_OTHER_TEXT","Q20_OTHER_TEXT","Q24_OTHER_TEXT","Q28_OTHER_TEXT","Q2_OTHER_TEXT","Q33_OTHER_TEXT","Q5_OTHER_TEXT","Q9_OTHER_TEXT"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA
"2",NA,NA,NA,"Excel",NA,NA,NA,NA,NA,NA,NA,"Trans Female",NA,"Applications analyst",NA
"3",NA,NA,NA,NA,"R",NA,"BBedit",NA,"ggplot2",NA,NA,"Non-Binary",NA,NA,NA
"4",NA,NA,NA,NA,"Jupyter",NA,NA,NA,NA,NA,NA,"Trans Male",NA,NA,NA
"5",NA,NA,NA,NA,"jupyter on a shared server (with CDP)",NA,"does plain ipython counts as ide?",NA,NA,NA,"CatBoost","Trans Female",NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genderfluid",NA,"Manager",NA
"7",NA,NA,"custom Python code",NA,NA,NA,"BBEdit",NA,NA,NA,NA,"Non-Binary",NA,NA,NA
"8",NA,NA,NA,NA,"Jupyter notebook",NA,NA,NA,NA,NA,NA,"Trans Female",NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonbinary",NA,NA,NA
"10",NA,NA,NA,NA,"R, python",NA,NA,NA,NA,NA,NA,"Queer",NA,NA,NA
"11",NA,NA,NA,"Anaconda",NA,NA,NA,NA,NA,NA,NA,"Queer",NA,NA,NA
"12",NA,"live workshops",NA,"Excel",NA,NA,NA,"PHP/CSS",NA,NA,NA,"agender",NA,"design engineer",NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-Binary",NA,NA,NA
"14",NA,NA,"none",NA,NA,NA,NA,"Go",NA,NA,NA,"Non-Binary",NA,NA,NA
"15",NA,NA,NA,NA,"Rstudio",NA,NA,NA,NA,NA,NA,"Non-Binary",NA,"Operational Researcher",NA
"16","Quora","Actual university",NA,NA,NA,"Azure","R (local)",NA,NA,"TDA, survival analysis, measurment models, penalized regression...","R packages","Non-Binary","Custom ones we create",NA,"Interface with clients, do product management tasks, write blog posts"
